word,code,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,mean_rt
In,17000,399.9,,,,,,,,,862.35,390.9,,271.39,501.59,,325.46,331.2,541.18,291.95,388.49,210.93,,357.57,,,,,290.32,293.1,,,,263.16,288.77,456.42,380.2752941176470
Ireland's,17001,529.87,,,,,,,,,388.94,142.19,,265.5,452.65,,207.52,191.97,340.28,296.78,443.82,247.92,,551.64,,,,,311.16,529.94,,,,366.71,157.52,285.05,335.8505882352940
County,17002,326.35,,,,,,,,,556.23,133.92,,281.09,377.29,,180.46,191.61,347.67,277.53,437.71,212.74,,406.73,,,,,286.6,270.39,,,,291.36,183.87,271.18,296.04294117647100
"Limerick,",17003,651.06,,,,,,,,,709.99,146.96,,347.19,1181.94,,156.05,207.24,739.07,295.74,439.61,449.66,,899.35,,,,,251.35,277.85,,,,352.2,391.5,694.69,481.85
near,17004,359.32,,,,,,,,,412.8,122.68,,394.61,508.05,,214.41,220.17,1287.17,356.5,457.56,214.25,,615.26,,,,,288.27,368.09,,,,319.55,238.82,482.9,403.55352941176500
the,17005,401.39,,,,,,,,,361.47,165.06,,276.55,387.15,,227.37,187.74,287.8,302.56,414.15,451.15,,435.57,,,,,261.09,228.74,,,,289.64,281.1,244.76,306.0758823529410
River,17006,347.37,,,,,,,,,419.5,295.41,,222.7,434.52,,186.88,187.39,228.61,294.04,450.7,215.75,,413.43,,,,,292.54,260.33,,,,254.51,195.19,214.95,289.0482352941180
"Shannon,",17007,490.72,,,,,,,,,632.12,140.2,,246.3,524.47,,178.57,170.96,204.18,362.86,487.33,196.63,,634.1,,,,,233.42,235.78,,,,283.37,181.53,267.9,321.7905882352940
there,17008,263.21,,,,,,,,,503.05,139.9,,427.15,518.19,,207.57,152.01,478.43,242.18,499.83,342.94,,427.69,,,,,312.97,286.03,,,,309.52,349.16,427.36,346.305294117647
is,17009,318.72,,,,,,,,,318.18,128.93,,274.44,472.02,,228.49,178.34,688.34,292.37,432.3,198.3,,370.93,,,,,243.04,352.22,,,,276.92,188.56,250.63,306.63117647058800
